fold,val_map_50_95_bbox,val_map_50_bbox,val_map_75_bbox,val_map_50_95_mask,val_map_50_mask,val_map_75_mask,val_precision,val_recall,test_map_50_95_bbox,test_map_50_bbox,test_map_75_bbox,test_map_50_95_mask,test_map_50_mask,test_map_75_mask,test_precision,test_recall
0,0.6362922301083048,0.9040084754246259,0.0,0.5038884079946203,0.8790556888656722,0.0,0.8957853116010932,0.8558097305928921,0.6663878748258639,0.9316652402992093,0.0,0.5315140703123278,0.9298746505453015,0.0,0.9149159424067392,0.8907692271420682
1,0.6852109303636894,0.9547018200598738,0.0,0.5414127990565151,0.9429141181786332,0.0,0.9448315712262125,0.9327891781510713,0.6897388240013967,0.952973188250741,0.0,0.5392021864858217,0.9359134740693055,0.0,0.9235266285932658,0.9401572052583729
2,0.6951035841533081,0.9612310672762597,0.0,0.5483573696342329,0.9494030137724541,0.0,0.9350624844683811,0.9364532088712464,0.6739112981615359,0.940220312011021,0.0,0.5268434801557326,0.9301659695833258,0.0,0.9128156143221786,0.9160012006223687
3,0.6830663663549125,0.9420826551810444,0.0,0.5287653162201746,0.9333323080901221,0.0,0.9224803812588216,0.9050009704180715,0.6947217748404664,0.9387566966932318,0.0,0.5334307140888023,0.9280571764236657,0.0,0.9246014655679224,0.9120372872194537
4,0.6897283625195377,0.9428489353977157,0.0,0.5283565803134553,0.9335590718517851,0.0,0.9035255002023035,0.935315119786084,0.6547213550761243,0.9254413015261629,0.0,0.5408045093706312,0.9219338012480658,0.0,0.8670832260434124,0.9160184894014579
