,val_map_50_95_bbox,val_map_50_bbox,val_map_75_bbox,val_map_50_95_mask,val_map_50_mask,val_map_75_mask,val_precision,val_recall,test_map_50_95_bbox,test_map_50_bbox,test_map_75_bbox,test_map_50_95_mask,test_map_50_mask,test_map_75_mask,test_precision,test_recall
mean,0.6779,0.941,0.0,0.5302,0.9277,0.0,0.9203,0.9131,0.6759,0.9378,0.0,0.5344,0.9292,0.0,0.9086,0.915
std,0.0237,0.0222,0.0,0.017,0.028,0.0,0.0207,0.0345,0.0165,0.0103,0.0,0.0057,0.005,0.0,0.0238,0.0175
